Tenure Months,Monthly Charges,Total Charges,Churn Value,CLTV,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Paperless Billing_Yes,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
-1.2395040756535771,-0.3639232943754246,-0.9596491092068434,1,-0.9831814487903576,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
-1.2395040756535771,0.19617817640187488,-0.94045745447498,1,-1.4382150807216563,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
-0.9950403079957154,1.1584890119510036,-0.645369218442638,1,0.8208831179558507,False,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
-0.18016108246950976,1.3296772953043026,0.336515544511356,1,0.5087875599955362,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
0.6754621043330061,1.2931128075977727,1.214588896927247,1,0.7938179205175578,True,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
-0.9135523854430948,-0.3190486958265014,-0.7742621363716934,1,1.2886035611863491,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
-1.2802480369298874,-0.8359375902233565,-0.9898704505662146,1,0.8724761505725964,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
-1.2802480369298874,-1.4841262359300234,-0.9984736061356706,1,0.3641579111846587,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
0.5939741817803856,1.1485168789401314,1.087901916323693,1,1.1735764720736044,True,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
-1.2802480369298874,-1.150059780065818,-0.9940396721114126,1,-1.2572165728530729,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-0.6283446565089229,-0.0032644838155611237,-0.5251015154562936,1,-1.1667173189187812,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True
-1.1172721918246462,0.1629377330323022,-0.8675512258671538,1,-1.6471245734484794,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.06430268518835193,1.3811999825271402,0.5585210769498317,1,-1.23522609993446,True,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False
-0.8728084241667845,1.0986562138857725,-0.5196749096355597,1,1.0763109187797395,False,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False
-1.2395040756535771,0.526920587929123,-0.9437663604632323,1,1.001881625824434,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
-0.7098325790615434,1.1402067680977384,-0.37805373333836034,1,-1.2140814144357936,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False
-0.9950403079957154,0.526920587929123,-0.7279595119094159,1,0.7616779985595851,False,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
-0.5876006952326126,1.0188791497987983,-0.23416044159589447,1,-1.0339286939871568,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
-0.9542963467194051,0.9839766842607471,-0.6291555791002016,1,0.9891948145252344,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
-1.2802480369298874,0.48370801154867815,-0.9723553082017323,1,-1.6225967382700264,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
-1.0357842692720256,0.3440981493964733,-0.7881374821490981,1,-0.7987997912419875,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
-0.8320644628904743,0.47041183420084937,-0.59822833779667,1,1.1879548582126975,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
